0,1/22/20
0,1/23/20
0,1/24/20
0,1/25/20
0,1/26/20
0,1/27/20
0,1/28/20
0,1/29/20
1,1/30/20
1,1/31/20
1,2/1/20
2,2/2/20
3,2/3/20
3,2/4/20
3,2/5/20
3,2/6/20
3,2/7/20
3,2/8/20
3,2/9/20
3,2/10/20
3,2/11/20
3,2/12/20
3,2/13/20
3,2/14/20
3,2/15/20
3,2/16/20
3,2/17/20
3,2/18/20
3,2/19/20
3,2/20/20
3,2/21/20
3,2/22/20
3,2/23/20
3,2/24/20
3,2/25/20
3,2/26/20
3,2/27/20
3,2/28/20
3,2/29/20
3,3/1/20
5,3/2/20
5,3/3/20
28,3/4/20
30,3/5/20
31,3/6/20
34,3/7/20
39,3/8/20
43,3/9/20
56,3/10/20
62,3/11/20
73,3/12/20
82,3/13/20
102,3/14/20
113,3/15/20
119,3/16/20
142,3/17/20
156,3/18/20
194,3/19/20
244,3/20/20
330,3/21/20
396,3/22/20
499,3/23/20
536,3/24/20
657,3/25/20
727,3/26/20
887,3/27/20
987,3/28/20
1024,3/29/20
1251,3/30/20
1397,3/31/20
1998,4/1/20
2543,4/2/20
2567,4/3/20
3082,4/4/20
3588,4/5/20
4778,4/6/20
5311,4/7/20
5916,4/8/20
6725,4/9/20
7598,4/10/20
8446,4/11/20
9205,4/12/20
10453,4/13/20
11487,4/14/20
12322,4/15/20
13430,4/16/20
14352,4/17/20
15722,4/18/20
17615,4/19/20
